name,key,hymn,sheet_type
Be Thou My Vision,,--,
求主借异象感动我,,--,
使我作你和平之子,,--,
我们敬拜你,,--,
Here For You,C,--,
How Great Is Our God,C,--,
来吧，我们赞美,C,--,pdf
使命,C,--,jpg
我需要有你在我生命中,C,--,JPG
耶和华祝福满满,C,378,pdf
耶稣你是中心,C,,
一生敬拜你,C,--,pdf
赞美中遇见你,C,--,
坐在宝座上圣洁羔羊,C,387,pdf
As The Deer,D,251,
爱，我愿意,D,385,pdf
把冷漠变成爱,D,391,pdf
当我赞美,D,--,pdf
恩典的记号,D,--,pdf
进入你的同在,D,388,pdf
来充满我,D,--,pdf
你的爱,D,--,pdf
全然向你,D,371,pdf
如鹿渴慕溪水,D,251,JPG
他诚然担当,Bm,--,
万国都要来赞美主,D,272,JPG
我心切切渴慕你,D,--,pdf
耶稣！耶稣！,Bm,--,png
一颗谦卑的心,D,--,JPG
有一位神,D,375,pdf
云上太阳,D,397,
展开清晨的翅膀,D,--,pdf
中国的早晨五点钟,D,191,
最知心的朋友,D,186,
单单敬拜,Eb,--,JPG
耶稣在我里面,Eb,--,
深深爱你,E,--,pdf
委身之歌,E,--,jpg
我要爱慕你,E,--,pdf
耶和华是爱,E,365,JPG
一生的选择,E,--,
I Believe,F,--,
爱，喜乐，生命,F,376,
恩典之路,F,--,pdf
马槽歌,F,--,
你是荣耀君王,F,255,
倾听我的心,F,--,pdf
我们爱戴的王,F,--,pdf
我们欢迎君王降临,F,--,pdf
信实的神,F,--,pdf
因你与我同行,F,--,JPG
主我邀请你,Dm,292,
主耶稣我爱你,F,50,
做与不做,Dm,--,pdf
Our God,G,--,
何等恩典,G,--,pdf
将天敞开,G,--,pdf
尽情的敬拜,G,--,pdf
立定心志,G,--,pdf
能不能,G,--,
你是我的平安,G,291,png
亲眼见你,G,--,pdf
让赞美飞扬,G,372,pdf
日日夜夜,G,--,
如鹰展翅上腾,G,--,pdf
圣灵请你来充满我心,G,--,pdf
喜乐泉源,G,--,pdf
这世代,G,--,pdf
宝贵十架,A,--,pdf
你的爱不离不弃,F#m,--,pdf
谁能使我与神的爱隔绝,A,--,pdf
神羔羊配得,A,--,pdf
Hi-Ne-Ni,Gm,--,
满有能力,Bb,--,pdf
你真伟大,Bb,--,pdf
我不知明天的道路,Bb,145,JPG
我的一生在你手中,Bb,--,pdf
宣教的中国,Bb,200,jpg
因他活着,Bb,106,JPG
