name,key,tempo,album
为何对我这么好,D,100,亲密的朋友
你名何其美,E,120,亲密的朋友
亲密的朋友,C,70,亲密的朋友
自由,F,140,亲密的朋友
打开黑暗的角落,C,70,亲密的朋友
荣耀归神，平安给人,A,140,亲密的朋友
水火,Eb,132,亲密的朋友
我一生,D,118,亲密的朋友
给你真平安,D,70,亲密的朋友
放手，交给他,D,70,亲密的朋友
新天地,A,96,亲密的朋友
我多么需要有你,C,78,有一天
在他没有难成的事,C,120,有一天
有一天,A,66,有一天
奇妙神迹,G,150,有一天
陪我,G,80,有一天
看见神的爱,Eb,154,有一天
只要耶稣,Bb,90,有一天
渴慕,C,100,有一天
牵我手,C,145,有一天
他是道路,G,86,有一天
拥抱新的每一天,C,122,有一天
泥土的祷告,C,70,有一天
脚步,C,96,脚步
不能隔绝的爱,E,80,脚步
钉痕手,D,92,脚步
耶稣掌权,A,78,脚步
恩典够用,G,75,脚步
Say Yes to Jesus,C,132,脚步
赞美中遇见你,Db,57,脚步
尊贵君王,Gb,80,脚步
不一样的爱,E,93,脚步
我愿跟随你,Eb,83,脚步
我们来祷告,Eb,130,脚步
神羔羊,Ab,65,脚步
一起走,A,64,就在这里
今天可以不一样,C,122,就在这里
就在这里,C,67,就在这里
世界听不懂的歌,C,123,就在这里
我是谁,C,68,就在这里
毛毛虫,A,114,就在这里
天国的子民,G,118,就在这里
仰望,G,80,就在这里
有谁能像你,E,66,就在这里
主恩典,D,123,就在这里
感谢,C,68,就在这里
多一点,C,119,就在这里
不停赞美,D,144,信心
飞,C,90,信心
十字路口,C,68,信心
笑看风浪,A,126,信心
我用信心抬起头,B,66,信心
好好地过,A,65,信心
好消息,B,99,信心
我不在乎,D,80,信心
承诺,C,118,信心
心灵的空处,C,74,信心
你是否愿意,C,119,信心
耶稣我投靠你,Bb,74,信心
磐石和盾牌,A,93,幸福
想起你,Bb,67,幸福
幸福,Ab,120,幸福
恩典的记号,D,63,幸福
当我赞美,D,94,幸福
我主何等伟大,F,140,幸福
他又真又活,A,88,幸福
耶稣在我里面,Eb,72,幸福
天上家乡,D,95,幸福
胜过万有,C,70,幸福
活出爱,C,63,幸福
好心情,Eb,125,好心情
医治的爱,E,64,好心情
做与不做,F,125,好心情
越久越甘甜,C,63,好心情
你最酷,A,120,好心情
爱你到底,D,69,好心情
让我说声谢谢你,Eb,87,好心情
因为你,C,70,好心情
生命的花朵,C,121,好心情
盼望,C,69,好心情
最珍贵的礼物,C,84,好心情
不变的爱,D,112,不变的爱
至宝,D,97,不变的爱
依然爱我,A,72,不变的爱
耶和华你真伟大,E,92,不变的爱
我的世界不寂寞,C,70,不变的爱
萤火虫,C,114,不变的爱
做在主身上,A,86,不变的爱
雨后的天空,C,80,不变的爱
神的家,C,73,不变的爱
一生的抉择,C,64,不变的爱
Maranatha,"A,Bb",,真实的敬拜者
阿爸 阿爸父,E,,真实的敬拜者
不停涌出来,"F,G",,雅各的祝福
差遣之歌,D,,呼召
单单爱主耶稣,G,,雅各的祝福
单单来敬拜你,E,,走向列邦呼喊
当我谦卑来到主前,A,,走向列邦呼喊
复兴（以斯拉）,A,,雅各的祝福
复兴从我开始,C,,复兴从我开始
哈利路亚（以斯拉）,F,,直到主耶稣再来时候
欢喜快乐,E,,我只愿一生
基督我主,A,,盼望之路
江河在这里,G,,直到主耶稣再来时候
将这山地赏赐给我们,A,,直到主耶稣再来时候
教会啊你要兴起,A,,真实的敬拜者
经由主宝血,"F,G",,我们一起祷告吧
敬拜荣美主,"F,G",,呼召
恳求圣灵降临,C,,走向列邦呼喊
恳求主使用我们,C,,你绝对
那宝血,E,,雅各的祝福
你绝对,A,,你绝对
你是属于我的,F,,复兴从我开始
你是为了接受主爱被拣选的人,D,,直到主耶稣再来时候
你是祝福的管道,E,,我们一起祷告吧
你要大大张口,E,,盼望之路
你要住在我里面,A,,我们一起祷告吧
盼望之路,F,,盼望之路
亲爱的兄弟啊,E,,真实的敬拜者
求赐下灵火,C,,雅各的祝福
求你吸引我 来到十架前,A,,呼召
求主充满我心,G,,你绝对
求主降临这地,A,,真实的敬拜者
全能上帝是我的主我的神,A,,我们一起祷告吧
全能神创造主,G,,复兴从我开始
全是恩惠,A,,复兴从我开始
任何环境不要惧怕,C,,盼望之路
荣耀的圣名耶稣,A,,你绝对
软弱的我变刚强,C,,我们一起祷告吧
神的恩惠,D,,雅各的祝福
神真是我力量,A,,我只愿一生
圣灵（以斯拉）,D,,直到主耶稣再来时候
圣灵我全心承认你,G,,盼望之路
十字架（什么是永不改变）,"A,C",,呼召
十字架（以斯拉_走向列邦呼喊）,D,,走向列邦呼喊
十字架的传达者,D,,走向列邦呼喊
使命,"A,C",,直到主耶稣再来时候
世上所有的民族,G,,雅各的祝福
是否已离主太远,F,,复兴从我开始
他的爱（以斯拉）,G,,复兴从我开始
他来世上的理由,G,,盼望之路
他名是耶稣,A,,你绝对
天父的心意,C,,复兴从我开始
天父我真爱你,F,,走向列邦呼喊
完全的主,A,,我只愿一生
万世磐石,A,,呼召
惟独倚靠主耶稣宝血,E,,复兴从我开始
惟有主爱充满在我心,D,,我们一起祷告吧
惟有主的话永长存,G,,真实的敬拜者
我（以斯拉）,A,,复兴从我开始
我的灵安静,A,,走向列邦呼喊
我的王，我的主,A,,盼望之路
我感谢你,D,,直到主耶稣再来时候
我欢喜快乐,G,,呼召
我们一起祷告吧,E,,我们一起祷告吧
我是主的朋友,D,,呼召
我心饥渴,E,,你绝对
我要歌唱天父奇妙的爱,G,,你绝对
我已得自由,E,,你绝对
我愿成为主的喜乐,G,,你绝对
我愿你来,G,,走向列邦呼喊
我真心爱你我的天父,"F,G",,走向列邦呼喊
我只愿一生,A,,我只愿一生
心灵深处的渴慕,E,,真实的敬拜者
信心英雄,F,,雅各的祝福
兴起吧！主的百姓,F,,我们一起祷告吧
雅各的祝福,C,,雅各的祝福
耶和华是创造你的神（E调）,E,,我只愿一生
耶和华是创造你的神（F调）,F,,我只愿一生
耶稣你是我起初的真爱,A,,我们一起祷告吧
耶稣求指引我生命道路,A,,真实的敬拜者
耶稣是良善的医治者,A,,我只愿一生
一颗谦卑的心,D,,真实的敬拜者
一切歌颂赞美,F,,真实的敬拜者
